ID,Name,Dec
1000,Recompensa diária de login.,Login hoje recompensa
1001,3 recompensas diárias,Recompensas de 3 jogos de hoje
1002,"Apoio, suporte",Você pode patrocinar o desenvolvedor através da campânulos.
1003,Análise,"Por favor, revise e vamos recompensá-lo."
1004,Tutorial completo,Tutorial completo
1005,Realização de Pray Rank,Alcançar a classificação de prata multiplay
1006,Realização do Gold Rank,Alcançar a classificação de ouro multiplay
1007,Realização da classificação de platina,Alcançar a classificação de platina multiplay
1008,Realização do Rank Diamond,Alcançar a classificação do diamante multiplay
1009,Realização do Rank Master.,Alcançar o Multiplay Master Rank
1010,Realização do Challenger.,Alcançar a classificação do Challenger multiplay
1011,Campeão da Liga,Alcançado primeiro lugar no campeonato
1012,Medalha de prata,Alcançou segundo lugar no campeonato
1013,Medalha de bronze,Alcançado terceiro lugar no campeonato
1014,3 campeões,Atingir 3 títulos da liga
1015,3 medalhas de prata,Alcado segundo lugar em três ligas
1016,3 medalhas de bronze.,Alcançou o terceiro lugar em três ligas
1017,5 campeões,Atingir 5 títulos da liga
1018,5 medalhas de prata,Alcançar o segundo lugar em cinco ligas
1019,5 medalhas de bronze.,Alcançar o terceiro lugar em cinco ligas
1020,Primeira estação,Prazo final da primeira temporada
1021,Terceira temporada,Prazo final da terceira temporada
1022,Quinta temporada,Prazo final da quinta temporada
1023,Décima temporada,10º prazo final de temporada
1024,6 recompensas diárias,Recompensas de 6 jogos de hoje
1025,Realização de Pray Rank,Alcançar a classificação de prata multiplay
1026,Realização do Gold Rank,Alcançar a classificação de ouro multiplay
1027,Realização da classificação de platina,Alcançar a classificação de platina multiplay
1028,Realização do Rank Diamond,Alcançar a classificação do diamante multiplay
1029,Realização do Rank Master.,Alcançar o Multiplay Master Rank
1030,Realização do Challenger.,Alcançar a classificação do Challenger multiplay
1031,Limite de jogo diário,Número de fósforos por dia onde você pode obter essência
